 Motion Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
      1    3  15882   3   8 158820     56 -1.65498836512143E+00 -2.37861744697910E+00  7.350651E+04
      1    3  15882   3  16 158820    112 -1.65736862829258E+00 -2.36945893738560E+00  1.084698E+05
      1    3  15882   3  32 158820    224 -1.65748447391931E+00 -2.36892825691122E+00  1.968888E+05
      1    3  15882   3  64 158820    448 -1.65747344546111E+00 -2.36888088395201E+00  3.288088E+05
      2    0    520   1   8   1560     56 -2.11246370681062E+00  3.94222243688752E-01  7.803275E+01
      2    0    520   1  16   1560    112 -2.12731412277419E+00  3.56238156823944E-01  1.524950E+02
      2    0    520   1  32   1560    224 -2.12527409652574E+00  3.57133398997690E-01  2.798373E+02
      2    0    520   1  64   1560    448 -2.12527299100259E+00  3.57403479940833E-01  8.120407E+02
      2    0    520   2   8   3120     56 -2.28897497749191E+00  9.47365710849303E-01  2.523579E+02
      2    0    520   2  16   3120    112 -2.24580790002701E+00  9.78828747303398E-01  4.730032E+02
      2    0    520   2  32   3120    224 -2.24655311770407E+00  9.79422971378407E-01  8.826151E+02
      2    0    520   3   8   5200     56 -2.34682294633354E+00  8.85605702848345E-01  5.888527E+02
      2    0    520   3  16   5200    112 -2.31679641031809E+00  8.77594951673566E-01  1.058879E+03
      2    0    520   3  32   5200    224 -2.32509017176508E+00  8.71053972593927E-01  2.271662E+03
      2    0    520   3  64   5200    448 -2.32511736309367E+00  8.71166405006576E-01  3.274469E+03
      2    1   1963   1   8   5889     56 -2.18233619304410E+00  1.05344171023066E+00  4.604893E+02
      2    1   1963   1  16   5889    112 -2.16077293760060E+00  1.08988530082788E+00  7.556800E+02
      2    1   1963   1  32   5889    224 -2.16153393712477E+00  1.09060560799984E+00  1.746087E+03
      2    1   1963   1  64   5889    448 -2.16147957048520E+00  1.09080407478903E+00  2.645245E+03
      2    1   1963   2   8  11778     56 -2.29658548626998E+00  8.87941681609738E-01  1.487458E+03
      2    1   1963   2  16  11778    112 -2.26293842655544E+00  9.28700273318498E-01  2.586079E+03
      2    1   1963   2  32  11778    224 -2.26868715767458E+00  9.26228314087614E-01  6.461666E+03
