 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   3    0     80   1  16    320    112 -8.42758550217084E-03 -1.13386419267699E-02  5.134093E+00
        1      1   3    0     80   1  32    320    224 -8.60052309910571E-03 -1.11369167152778E-02  1.123772E+01
        1      1   3    0     80   1  64    320    448 -8.61372830037416E-03 -1.11580853005490E-02  2.081211E+01
        1      1   3    0     80   1 128    320    896 -8.61856872883178E-03 -1.11589384884313E-02  2.430770E+01
        1      1   3    0     80   2  16    720    112 -8.56648632469791E-03 -1.22585755208088E-02  1.334116E+01
        1      1   3    0     80   2  32    720    224 -8.71669304290157E-03 -1.16745766705292E-02  2.554912E+01
        1      1   3    0     80   2  64    720    448 -8.72527621817628E-03 -1.16689320402304E-02  4.750464E+01
        1      1   3    0     80   2 128    720    896 -8.72556723516124E-03 -1.16718571987243E-02  5.350703E+01
        1      1   3    0     80   3  16   1280    112 -8.60297130888956E-03 -1.23855869471616E-02  3.712331E+01
        1      1   3    0     80   3  32   1280    224 -8.71636568450829E-03 -1.16562349789357E-02  6.907767E+01
        1      1   3    0     80   3  64   1280    448 -8.72510911232877E-03 -1.17062179799177E-02  1.321003E+02
        1      1   3    0     80   3 128   1280    896 -8.72610064091552E-03 -1.17145276478521E-02  1.904006E+02
        1      1   3    0     80   4  16   2000    112 -8.60633886999350E-03 -1.23958609000233E-02  1.040310E+02
        1      1   3    0     80   4  32   2000    224 -8.70988237081340E-03 -1.16440992106174E-02  1.918563E+02
        1      1   3    0     80   4  64   2000    448 -8.72514192509006E-03 -1.17080797843159E-02  3.399111E+02
        1      1   3    0     80   4 128   2000    896 -8.72561580671984E-03 -1.17192857308144E-02  6.587656E+02
        1      1   3    1    320   1  16   1280    112 -8.51390506042722E-03 -1.20693336705509E-02  1.662343E+01
        1      1   3    1    320   1  32   1280    224 -8.68186421155968E-03 -1.15897301592414E-02  3.068816E+01
        1      1   3    1    320   1  64   1280    448 -8.69018246338445E-03 -1.15777354584408E-02  5.869882E+01
        1      1   3    1    320   1 128   1280    896 -8.69092022130382E-03 -1.15792287879342E-02  6.824476E+01
        1      1   3    1    320   2  16   2880    112 -8.60326487144790E-03 -1.23845253928773E-02  4.924041E+01
        1      1   3    1    320   2  32   2880    224 -8.71258550935429E-03 -1.16491769846948E-02  8.911799E+01
        1      1   3    1    320   2  64   2880    448 -8.72494585327118E-03 -1.17036940625055E-02  1.682832E+02
        1      1   3    1    320   2 128   2880    896 -8.72560447827440E-03 -1.17127321887038E-02  1.954091E+02
        1      1   3    1    320   3  16   5120    112 -8.60627791179287E-03 -1.23949649112201E-02  1.504682E+02
        1      1   3    1    320   3  32   5120    224 -8.70840451241115E-03 -1.16429723929770E-02  2.674002E+02
        1      1   3    1    320   3  64   5120    448 -8.72508444580547E-03 -1.17065761909301E-02  5.091907E+02
        1      1   3    1    320   3 128   5120    896 -8.72544050914798E-03 -1.17166009298295E-02  8.767761E+02
        1      1   3    1    320   4  16   8000    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    1    320   4  32   8000    224 -8.70794760024354E-03 -1.16427469850066E-02  7.765007E+02
        1      1   3    1    320   4  64   8000    448 -8.72524874953024E-03 -1.17067815184854E-02  1.412336E+03
        1      1   3    1    320   4 128   8000    896 -8.72546009395677E-03 -1.17162721679623E-02  2.173151E+03
        1      1   3    2   1280   1  16   5120    112 -8.59171889924074E-03 -1.23449476931778E-02  6.784466E+01
        1      1   3    2   1280   1  32   5120    224 -8.70920378455002E-03 -1.16479268599027E-02  1.174955E+02
        1      1   3    2   1280   1  64   5120    448 -8.72039842620980E-03 -1.16820337518720E-02  2.221352E+02
        1      1   3    2   1280   1 128   5120    896 -8.72110401765653E-03 -1.16873121322268E-02  2.721128E+02
        1      1   3    2   1280   2  16  11520    112 -8.60621904966606E-03 -1.23947525313356E-02  2.331644E+02
        1      1   3    2   1280   2  32  11520    224 -8.70826944895508E-03 -1.16431407505569E-02  3.777143E+02
        1      1   3    2   1280   2  64  11520    448 -8.72517486774547E-03 -1.17066168442849E-02  6.959809E+02
        1      1   3    2   1280   2 128  11520    896 -8.72544560879776E-03 -1.17162993699047E-02  1.276748E+03
        1      1   3    2   1280   3  16  20480    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    2   1280   3  32  20480    224 -8.70792722733124E-03 -1.16427349949740E-02  1.172222E+03
        1      1   3    2   1280   3  64  20480    448 -8.72524582889609E-03 -1.17065888965258E-02  1.970191E+03
