#  Time  ForceX  ForceY   Work
1.38699999999996 0.0204953390511946 0.0887388358601022 -0.0104252179153121
1.38799999999996 0.0204856442326395 0.0905655473842444 -0.00757522287321422
1.38899999999996 0.0204707160726763 0.0923931030185337 -0.00472197261047569
1.38999999999996 0.0204505418068024 0.0942214473500798 -0.00186554734698774
1.39099999999996 0.0204251122095442 0.0960505262399582 0.0009939736763247
1.39199999999996 0.0203944215898275 0.0978802868713409 0.00385651224032024
1.39299999999996 0.0203584677832183 0.0997106777964341 0.00672199118950267
1.39399999999996 0.0203172521407922 0.101541648981993 0.00959033447219859
1.39499999999996 0.0202707795148243 0.103373151853383 0.0124614671796976
1.39599999999996 0.0202190582412598 0.105205139337283 0.0153353155837692
1.39699999999996 0.0201621001189629 0.107037565902704 0.0182118071727526
1.39799999999996 0.0200999203858707 0.108870387600586 0.0210908706862849
1.39899999999996 0.0200325376919395 0.110703562101655 0.0239724361482061
1.39999999999996 0.0199599740690743 0.112537048732651 0.0268564348980806
1.40099999999996 0.0198822548979862 0.114370808510836 0.0297427996210864
1.40199999999996 0.0197994088720179 0.116204804176698 0.032631464375994
1.40299999999996 0.0197114679580537 0.118039000224874 0.0355223646216878
1.40399999999996 0.0196184673544977 0.119873362933228 0.0384154372417971
1.40499999999996 0.0195204454463784 0.121707860389993 0.0413106205675291
1.40599999999996 0.0194174437576606 0.123542462519035 0.0442078543988327
1.40699999999996 0.019309506900786 0.125377141103142 0.0471070800234301
1.40799999999996 0.0191966825235994 0.127211869805274 0.0500082402342592
1.40899999999996 0.0190790212535354 0.129046624187852 0.0529112793448903
1.40999999999996 0.0189565766393152 0.130881381729971 0.0558161432029571
1.41099999999996 0.0188294050901305 0.132716121842464 0.0587227792017337
1.41199999999996 0.0186975658124133 0.134550825881023 0.0616311362896997
1.41299999999996 0.0185611207442236 0.136385477157033 0.0645411649782339
1.41399999999996 0.0184201344873678 0.138220060946329 0.0674528173470641
1.41499999999995 0.0182746742373325 0.140054564495832 0.0703660470479495
1.41599999999995 0.018124809711086 0.141888977027959 0.0732808093063024
1.41699999999995 0.0179706130727872 0.143723289742848 0.0761970609206486
1.41799999999995 0.0178121588576055 0.14555749581846 0.0791147602602322
1.41899999999995 0.0176495238936099 0.147391590408379 0.0820338672605274
1.41999999999995 0.0174827872219119 0.149225570637505 0.0849543434166193
1.42099999999995 0.0173120300150202 0.151059435595499 0.0878761517748003
1.42199999999995 0.0171373354936826 0.152893186328026 0.0907992569218674
1.42299999999995 0.0169587888421177 0.15472682582582 0.093723624972661
1.42399999999995 0.0167764771218728 0.156560359011548 0.0966492235553975
1.42499999999995 0.0165904891842672 0.158393792724473 0.0995760217951815
1.42599999999995 0.0164009155816878 0.160227135703009 0.102503990295416
1.42699999999995 0.0162078484776167 0.162060398565073 0.105433101117356
1.42799999999995 0.0160113815557139 0.16389359378628 0.108363327757672
1.42899999999995 0.0158116099278338 0.165726735676088 0.111294645124127
1.42999999999995 0.015608630041271 0.167559840351817 0.114227029509385
1.43099999999995 0.0154025395851782 0.169392925710557 0.117160458562905
1.43199999999995 0.0151934373963414 0.171226011399094 0.120094911261083
1.43299999999995 0.0149814233643859 0.173059118781788 0.123030367875518
1.43399999999995 0.0147665983365144 0.174892270906517 0.125966809939637
1.43499999999995 0.0145490640218569 0.176725492468558 0.128904220213448
1.43599999999995 0.014328922895583 0.178558809772715 0.131842582646744
1.43699999999995 0.0141062781028261 0.180392250693465 0.134781882340544
1.43799999999995 0.0138812333625111 0.182225844633289 0.13772210550702
1.43899999999995 0.0136538928712611 0.184059622479278 0.140663239427855
1.43999999999995 0.0134243612073668 0.185893616557939 0.14360527241112
1.44099999999995 0.0131927432350629 0.187727860588325 0.146548193746513
1.44199999999995 0.0129591440090095 0.189562389633544 0.149491993659492
1.44299999999995 0.012723668679314 0.191397240050646 0.152436663263801
1.44399999999995 0.0124864223969787 0.193232449439027 0.155382194512802
1.44499999999995 0.0122475102199644 0.195068056587303 0.15832858014954
1.44599999999995 0.0120070370200409 0.196904101418784 0.161275813655712
1.44699999999995 0.0117651073903104 0.198740624935628 0.16422388919926
1.44799999999995 0.0115218255536895 0.200577669161595 0.16717280158127
1.44899999999995 0.0112772952723823 0.202415277083732 0.170122546181494
1.44999999999995 0.0110316197583487 0.204253492592697 0.173073118903222
1.45099999999995 0.0107849015849979 0.206092360422154 0.176024516117103
1.45199999999995 0.0105372426001082 0.207931926087022 0.178976734604269
1.45299999999995 0.0102887438400181 0.209772235820807 0.181929771498588
1.45399999999995 0.0100395054452882 0.211613336512034 0.184883624228467
1.45499999999995 0.00978962657784521 0.213455275639866 0.187838290457762
1.45599999999995 0.00953920533962105 0.215298101208951 0.190793768026401
1.45699999999995 0.009288338692933 0.217141861683647 0.193750054890462
1.45799999999995 0.00903712238253718 0.218986605921593 0.196707149061849
1.45899999999995 0.00878565085945482 0.220832383106796 0.199665048547592
1.45999999999995 0.00853401720668501 0.22267924268224 0.202623751289101
1.46099999999995 0.00828231306684657 0.224527234282217 0.205583255101036
1.46199999999995 0.00803062857183079 0.22637640766423 0.208543557610158
1.46299999999995 0.00777905227443654 0.228226812640823 0.211504656194258
1.46399999999995 0.00752767108225783 0.230078499011213 0.214466547920971
1.46499999999995 0.00727657019359995 0.231931516492878 0.217429229486825
1.46599999999995 0.00702583303580795 0.233785914653211 0.22039269715652
1.46699999999995 0.00677554120564849 0.235641742841224 0.223356946702273
1.46799999999995 0.0065257744122853 0.237499050119531 0.226321973343907
1.46899999999995 0.00627661042241812 0.239357885196522 0.229287771688911
1.46999999999995 0.00602812500802941 0.241218296358959 0.232254335673295
1.47099999999995 0.00578039189647939 0.243080331404958 0.235221658502992
1.47199999999995 0.00553348272318388 0.244944037577469 0.238189732595718
1.47299999999995 0.00528746698678617 0.246809461498462 0.24115854952375
1.47399999999995 0.00504241200697564 0.248676649103629 0.244128099957454
1.47499999999995 0.00479838288485723 0.25054564557794 0.247098373609472
1.47599999999995 0.00455544246601391 0.25241649529201 0.250069359180111
1.47699999999995 0.00431365130616612 0.254289241739336 0.253041044303568
1.47799999999995 0.00407306763959525 0.256163927474589 0.256013415495206
1.47899999999995 0.00383374735022102 0.258040594052833 0.258986458100038
1.47999999999995 0.00359574394540729 0.259919281970042 0.261960156242345
1.48099999999995 0.00335910853249288 0.261800030604672 0.264934492776472
1.48199999999995 0.00312388979808986 0.263682878160587 0.267909449239161
1.48299999999995 0.00289013399009974 0.265567861611331 0.270885005803013
