 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   3    0     80   3  64   1280    448 -8.72510911232877E-03 -1.17062179799177E-02  1.285257E+02
        1      1   3    0     80   3 128   1280    896 -8.72610064091552E-03 -1.17145276478521E-02  2.473969E+02
        1      1   3    0     80   4  16   2000    112 -8.60633886999350E-03 -1.23958609000233E-02  1.032612E+02
        1      1   3    0     80   4  32   2000    224 -8.70988237081340E-03 -1.16440992106174E-02  1.900660E+02
        1      1   3    0     80   4  64   2000    448 -8.72514192509006E-03 -1.17080797843159E-02  3.577356E+02
        1      1   3    0     80   4 128   2000    896 -8.72561580671984E-03 -1.17192857308144E-02  5.723783E+02
        1      1   3    1    320   1  16   1280    112 -8.51390506042722E-03 -1.20693336705509E-02  1.665156E+01
        1      1   3    1    320   1  32   1280    224 -8.68186421155968E-03 -1.15897301592414E-02  3.049771E+01
        1      1   3    1    320   1  64   1280    448 -8.69018246338445E-03 -1.15777354584408E-02  5.838247E+01
        1      1   3    1    320   1 128   1280    896 -8.69092022130382E-03 -1.15792287879342E-02  8.413169E+01
        1      1   3    1    320   2  16   2880    112 -8.60326487144790E-03 -1.23845253928773E-02  4.896645E+01
        1      1   3    1    320   2  32   2880    224 -8.71258550935429E-03 -1.16491769846948E-02  8.855095E+01
        1      1   3    1    320   2  64   2880    448 -8.72494585327118E-03 -1.17036940625055E-02  1.674692E+02
        1      1   3    1    320   2 128   2880    896 -8.72560447827440E-03 -1.17127321887038E-02  2.608862E+02
        1      1   3    1    320   3  16   5120    112 -8.60627791179287E-03 -1.23949649112201E-02  1.503917E+02
        1      1   3    1    320   3  32   5120    224 -8.70840451241115E-03 -1.16429723929770E-02  2.672008E+02
        1      1   3    1    320   3  64   5120    448 -8.72508444580547E-03 -1.17065761909301E-02  5.092986E+02
        1      1   3    1    320   3 128   5120    896 -8.72544050914798E-03 -1.17166009298295E-02  8.009237E+02
        1      1   3    1    320   4  16   8000    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    1    320   4  32   8000    224 -8.70794760024354E-03 -1.16427469850066E-02  7.742925E+02
        1      1   3    1    320   4  64   8000    448 -8.72524874953024E-03 -1.17067815184854E-02  1.289846E+03
        1      1   3    1    320   4 128   8000    896 -8.72546009395677E-03 -1.17162721679623E-02  2.517582E+03
        1      1   3    2   1280   1  16   5120    112 -8.59171889924074E-03 -1.23449476931778E-02  6.787008E+01
        1      1   3    2   1280   1  32   5120    224 -8.70920378455002E-03 -1.16479268599027E-02  1.173977E+02
        1      1   3    2   1280   1  64   5120    448 -8.72039842620980E-03 -1.16820337518720E-02  2.220081E+02
        1      1   3    2   1280   1 128   5120    896 -8.72110401765653E-03 -1.16873121322268E-02  3.606238E+02
        1      1   3    2   1280   2  16  11520    112 -8.60621904966606E-03 -1.23947525313356E-02  2.325574E+02
        1      1   3    2   1280   2  32  11520    224 -8.70826944895508E-03 -1.16431407505569E-02  3.752465E+02
        1      1   3    2   1280   2  64  11520    448 -8.72517486774547E-03 -1.17066168442849E-02  6.963382E+02
        1      1   3    2   1280   2 128  11520    896 -8.72544560879776E-03 -1.17162993699047E-02  8.984036E+02
        1      1   3    2   1280   3  16  20480    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    2   1280   3  32  20480    224 -8.70792722733124E-03 -1.16427349949740E-02  1.174991E+03
        1      1   3    2   1280   3  64  20480    448 -8.72524582889609E-03 -1.17065888965258E-02  2.018526E+03
        1      1   3    2   1280   3 128  20480    896 -8.72546058556705E-03 -1.17162555161358E-02  3.585761E+03
