# Time  ForceX  ForceY  Power
0.715 4.41955679048624 2.52006551707116 -0.121853096195658
0.72 4.42453908102427 2.47907142665917 -0.0810822679510612
0.725 4.42737940205144 2.43823544005379 -0.0402656606225137
0.73 4.4281100258775 2.39762123620055 0.000541472821463995
0.735 4.42676772062743 2.3572898782464 0.0412817024022722
0.74 4.42339296477923 2.31729946040867 0.0818963562569911
0.745 4.41802914561711 2.27770476263932 0.122326295477212
0.75 4.41072168527857 2.23855694270984 0.162512666490836
0.755 4.40151716817338 2.19990327014138 0.202397522270711
0.76 4.39046282292027 2.16178699950101 0.241923923711047
0.765 4.37760660663539 2.12424742881723 0.281035489687627
0.77 4.36299738780114 2.08731999345015 0.31967587469353
0.775 4.34668465717111 2.05103627334312 0.357788853848552
0.78 4.32871767416824 2.01542388596163 0.395318841989464
0.785 4.30914485458229 1.9805064940989 0.432211103430727
0.79 4.28801406925812 1.94630398523952 0.468411133627536
0.795 4.26537359539102 1.91283272914756 0.503863673813067
0.8 4.24127278231397 1.88010578499436 0.538512257076446
0.805 4.21576180104261 1.84813294085294 0.572299655096432
0.81 4.18889100882588 1.8169208088928 0.605168767432422
0.815 4.1607106304651 1.78647301684944 0.637063179043412
0.82 4.13127089914532 1.75679041796059 0.667927071258166
0.825 4.10062315871911 1.72787151208719 0.697705129082815
0.83 4.06881980836315 1.69971244313034 0.726342328690942
0.835 4.035914047452 1.67230710756664 0.753784360904991
0.84 4.00195965387716 1.64564735550013 0.779978333136105
0.845 3.9670100716123 1.61972302157943 0.8048733164445
0.85 3.93111790978689 1.59452217840491 0.828421036838838
0.855 3.89433416763246 1.57003128009102 0.850576454805409
0.86 3.85670715297009 1.54623537628128 0.871298411238995
0.865 3.81828204936602 1.52311846320636 0.890550210461408
0.87 3.77910138744991 1.50066396702781 0.908299674877124
0.875 3.73920573830483 1.47885503401938 0.924518383085816
0.88 3.69863534098906 1.45767480442802 0.939180715088106
0.885 3.65743253538602 1.43710690847601 0.95226358580088
0.89 3.61564233129984 1.41713524994983 0.963746207916905
0.895 3.57331172763044 1.39774390834288 0.973610927678341
0.9 3.5304877026583 1.37891695517035 0.981844490102682
0.905 3.48721378100445 1.36063792692625 0.988438785993697
0.91 3.44352773081664 1.34288991168759 0.993391830800382
0.915 3.39945853287368 1.32565534336037 0.996707745640993
0.92 3.35502445207939 1.30891591101998 0.998396157936324
0.925 3.31023347698602 1.29265304506656 0.998471604226737
0.93 3.26508409789169 1.27684798527421 0.996951918461513
0.935 3.21956977353113 1.26148223338336 0.99385658208586
0.94 3.17368646077812 1.24653821003585 0.989205216975307
0.945 3.12744000536814 1.2319992893373 0.983016171669372
0.95 3.08085427135784 1.21785012874 0.97530690839216
0.955 3.03397336914829 1.20407622061861 0.966095349053171
0.96 2.98685763986895 1.19066324307464 0.955402246528864
0.965 2.93957524801853 1.17759650789214 0.943253727937963
0.97 2.89219056598674 1.16486047218923 0.92968271226614
0.975 2.84475096330871 1.15243799197907 0.91472829643284
0.98 2.79728309148525 1.14031107899515 0.898434735951154
0.985 2.7497892452794 1.12846034465336 0.880848116874945
0.99 2.70225147032925 1.11686506260188 0.862013464644444
0.995 2.65464177427122 1.105503583212 0.841972934590625
1 2.60693578058202 1.0943541114174 0.820765583563048
1.005 2.55911655129461 1.08339349409541 0.798426955600884
1.01 2.51118499478584 1.07259885266897 0.774991688780013
1.015 2.46315903438872 1.06194758419696 0.750494841473276
1.02 2.41506617621479 1.05141691075022 0.724972336802058
1.025 2.36693932147457 1.04098492331264 0.698461517450689
1.03 2.31881108813526 1.03063075959203 0.671000222113485
1.035 2.2707042639945 1.02033342117829 0.64262467712846
1.04 2.22262519974955 1.01007050084079 0.613367614844509
1.045 2.17457031588559 0.999819404327428 0.583258365454956
1.05 2.12652787142284 0.989556618911063 0.552322334730348
1.055 2.0784763949592 0.979256108622044 0.520580526967945
1.06 2.03039101374089 0.968890310254355 0.4880505285281
1.065 1.98224982338138 0.958431593079523 0.454747364749069
1.07 1.93402709214649 0.947850595099434 0.420682421332675
1.075 1.88569175124798 0.937116581481351 0.385862983551371
1.08 1.83720807691141 0.92619853165831 0.350291750706496
1.085 1.78853503539482 0.915065241066842 0.313965840205647
1.09 1.73962519581933 0.903684726313316 0.276875717347026
1.095 1.69042536940556 0.892023998235172 0.239004669105062
1.1 1.64088069568872 0.880049401181918 0.200328864070305
1.105 1.59093748901779 0.867726591860679 0.160817653383975
1.11 1.54054140419528 0.855019355657331 0.120433723061038
1.115 1.48963715915622 0.841889426578716 0.0791334017837764
1.12 1.43816944595038 0.828297032225932 0.0368667896494763
1.125 1.38608314434118 0.814200943817676 -0.00642271233189939
1.13 1.3333211490803 0.799557874825799 -0.0507992838586997
